Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (constant LCU),NY.GDP.MKTP.KN,Burundi,BDI,1084871791200,1107174662600,1156405398900,1142254142700,1197466798800,1208244000000,1273656000000,1317621950000,1381680992000,1434360970000,1507859921000,1568665880000,1638419845000,1719098749500,1791999714300,1722111724000,1711779038000,1720337954800,1748034284900,1779718548186.91,1785541020062.4
GDP (constant LCU),NY.GDP.MKTP.KN,Cabo Verde,CPV,91787709900,93836094500,98763325700,102887938300,113379496100,121216806100,130894453400,150752042500,161363495800,158937255700,161856009900,168208402200,170031190000,171106019600,172298058500,173910814000,181355440000,189609497000,196638253900,210300338300,166546772700
GDP (constant LCU),NY.GDP.MKTP.KN,Cambodia,KHM,14082638235000,15230145971000,16232128060000,17612815920000,19434074218000,22009105943000,24379725159000,26869522611000,28667517534000,28692371400000,30403320051000,32552704028000,34933395745000,37503328695000,40182030612000,42981029623000,45961039355000,49176889018000,52849994070000,56578089165000,54826427716000
GDP (constant LCU),NY.GDP.MKTP.KN,Cameroon,CMR,10217433253000,10659261754000,11136479763000,11743769120000,12571571295000,12851699873000,13341296082000,13918652545000,14315010936000,14684231110000,15109930600000,15620527080000,16343129339000,17159555131000,18141050479000,19169095281000,20038566000000,20748167000000,21568863700000,22318394651000,22376407505000
GDP (constant LCU),NY.GDP.MKTP.KN,Canada,CAN,1488136122000,1514773355000,1560489980000,1588602490000,1637642344000,1690115687000,1734638469000,1770577143000,1788358858000,1736032271000,1789674270000,1845979221000,1878486206000,1922238451000,1977407388000,1990442000000,2010374175000,2071487142000,2129013180000,2169213709000,2059140049000
GDP (constant LCU),NY.GDP.MKTP.KN,Cayman Islands,CYM,..,..,..,..,..,..,3861222600,3983338600,3969102100,3683307600,3583282400,3625173200,3669753900,3716702200,3815363100,3923457000,4050576000,4179548200,4357900700,4528540200,4297216300
GDP (constant LCU),NY.GDP.MKTP.KN,Central African Republic,CAF,644069000000,672825000000,697158000000,659529000000,699067000000,705416000000,739072000000,773125000000,789006000000,856760000000,896435000000,934037000000,981241000000,624148000000,624654000000,651746000000,682706000000,713614000000,740656000000,763616336000,770488883000
GDP (constant LCU),NY.GDP.MKTP.KN,Chad,TCD,1608974460000,1796550869100,1949099772900,2236039751200,2988005873900,3505903000000,3528630437400,3644069567300,3755311770400,3913699387900,4444009602300,4447692344100,4842762000000,5118799500000,5471995900000,5623443000000,5271667000000,5114112900000,5235523873400,5405530857900,5319042000000
GDP (constant LCU),NY.GDP.MKTP.KN,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8173500000,8334200000,8421900000,8533500000,7853800000
GDP (constant LCU),NY.GDP.MKTP.KN,Chile,CHL,95613647417000,98629335249000,101788234750000,106595942730000,113710426880000,120347756480000,127628784710000,134224935110000,139311245140000,137753693550000,145814558960000,154889906610000,164423907020000,169863885540000,172908949590000,176629850760000,179726240480000,182166375340000,189434867410000,190842614800000,179114865010000
GDP (constant LCU),NY.GDP.MKTP.KN,China,CHN,17250847669000,18688832353000,20395801299000,22443138051000,24712952059000,27528892070000,31030830225000,35446784521000,38867639882000,42520702714000,47043149831000,51536162123000,55588830088000,59905942070000,64354415744000,68885821805000,73603647933000,78717041146000,84030263391000,89030484848000,91023555431000
GDP (constant LCU),NY.GDP.MKTP.KN,Colombia,COL,430505835550000,437729285680000,448689941490000,466270833400000,491137159840000,514853000000000,549435000000000,586457000000000,605713000000000,612616000000000,640151000000000,684628000000000,711415000000000,747939000000000,781589000000000,804692000000000,821489000000000,832656000000000,854008000000000,881224000000000,817315000000000
GDP (constant LCU),NY.GDP.MKTP.KN,Comoros,COM,246345000000,252092000000,257953000000,263380000000,268436000000,276053000000,283360000000,285627000000,296951000000,306574412000,318156078200,331338896600,341837070900,357104359900,364627326000,368810880400,381057048600,395597282000,410006719700,417226037000,416410123000
GDP (constant LCU),NY.GDP.MKTP.KN,"Congo, Dem. Rep.",COD,4703668051600,4604882884000,4740624018400,5005047602600,5342306425600,5670065000000,5971768000000,6345569490100,6740637937300,6933087465100,7425889698100,7936395175500,8498839481600,9219707361000,10092840210000,10790877906000,11049794113000,11461614156000,12128808596000,12660599711000,12880314640800
GDP (constant LCU),NY.GDP.MKTP.KN,"Congo, Rep.",COG,2873294486200,2982554436900,3119211205700,3144578629900,3253904044900,3506269000000,3786288000000,3535863108400,3758847929300,4196275920700,4613019220600,4714778704800,5183764962900,5146834035400,5488895991900,5511685507200,5032982203300,4751398237700,4641910922300,4694108146400,4399891868900
GDP (constant LCU),NY.GDP.MKTP.KN,Costa Rica,CRI,17056831951000,17652314929000,18255472710000,19043594302000,19886197099000,20677004811000,22191945978000,24015043630000,25152918394000,24933218734000,26269724898000,27426422717000,28765543151000,29483176174000,30527502669000,31642391784000,32972740220000,34343647498000,35242044485000,36094025075000,34551599495000
GDP (constant LCU),NY.GDP.MKTP.KN,Cote d'Ivoire,CIV,17976425562000,17589211110000,17108933044000,16300387694000,16819561273000,16987095131000,17465380145000,17657749041000,18502260197000,19168956129000,20481655714000,19381699200000,20858664486000,23103101241000,25268323876000,27086367000000,29029207000000,31180492565000,32690609362000,34821477015000,35426542114000
GDP (constant LCU),NY.GDP.MKTP.KN,Croatia,HRV,35748480372.4818,36864141965.7597,39009848038.3507,41194256539.85,42916155335.8693,44764765657.5946,47037399129.5748,49424557395.2308,50418808193.7751,46779625379.5223,46198121260.7089,46159802558.5358,45079706200.4408,44900832802.6735,44709724186.0777,45837550853.0531,47470416348.1697,49084208260.7453,50468541543.6499,52184328934.6017,47700952099.4019
GDP (constant LCU),NY.GDP.MKTP.KN,Cuba,CUB,28574300000,29484400000,29904500000,31038700000,32829800000,36507281444.0637,40912200000,43883300000,45689900000,46353000000,47461000000,48791000000,50262000000,51643000000,52184000000,54500100000,54779600000,55770996693.6018,57024700000,56931700000,50698200000
GDP (constant LCU),NY.GDP.MKTP.KN,Curacao,CUW,4882848600,4848876000,4868129200,4882158500,4892335900,4925428900,5006005700,5129652200,5241891200,5214040600,5218332100,5244865104.71618,5226563129.20013,5193338042.58777,5160235791.84415,5183877502.22096,5128528842.99323,5063078080.15726,4956545275.56564,4797631905.31787,3932213058.47044
GDP (constant LCU),NY.GDP.MKTP.KN,Cyprus,CYP,13970564000,14522759000,15063435000,15458592000,16235594000,17023508000,17825967000,18734747000,19417968000,19026645000,19409974000,19487893000,18816180000,17583141000,17261491000,17845461000,18997306000,20109131000,21253912000,22495116000,21732338000
GDP (constant LCU),NY.GDP.MKTP.KN,Czechia,CZE,3105972000000,3200486000000,3250729000000,3367225000000,3529332000000,3762325000000,4016919000000,4240675000000,4354597000000,4151789000000,4252881000000,4327747000000,4293774000000,4291803000000,4388888000000,4625378000000,4742737000000,4987876000000,5148490000000,5304483000000,5012579000000
GDP (constant LCU),NY.GDP.MKTP.KN,Denmark,DNK,1768988637000,1783550120000,1791867627000,1798856960000,1846854408000,1890008771000,1963964965000,1981822099000,1971674838000,1874933671000,1910013514000,1935546150000,1939930158000,1958036321000,1989744640000,2036356221000,2102455468000,2161781218000,2204790662000,2237718923000,2183465144000
GDP (constant LCU),NY.GDP.MKTP.KN,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,363051509000,388688548300,417941671800,447713464000,472150074600,494692487500,522123832000,528996878200
GDP (constant LCU),NY.GDP.MKTP.KN,Dominica,DMA,939780000,939180000,912620000,970600000,1000210000,1006770000,1053680000,1120620000,1200420000,1186380000,1194360000,1191690000,1179070000,1167280000,1222770000,1189370000,1222240000,1141340000,1181830000,1246860000,1039830000
GDP (constant LCU),NY.GDP.MKTP.KN,Dominican Republic,DOM,1049005094600,1074805546600,1123119167300,1108005283200,1136482506800,1243632770400,1357728060700,1458416518100,1505224458400,1519466217400,1646184397900,1697766318500,1743900875400,1828919619700,1957866933400,2093488743400,2232898351300,2337101123100,2500289853700,2626608698100,2450094306200
GDP (constant LCU),NY.GDP.MKTP.KN,Ecuador,ECU,37726410000,39241363000,40848994000,41961262000,45406710000,47809319000,49914615000,51007777000,54250408000,54557732000,56481055000,60925064000,64362433000,67546128000,70105362000,70174677000,69314066000,70955691000,71870517000,71879217000,66281546000
GDP (constant LCU),NY.GDP.MKTP.KN,"Egypt, Arab Rep.",EGY,3105070776031.45,3214842851893.01,3291684155167.24,3396802598760.59,3535802193594.79,3693914232718.68,3946719745823.37,4226456430427.18,4528913637384.45,4740576936061.86,4984585564563.96,5072542163210.07,5185467086633.14,5298793709533.22,5453301864798.64,5691721262703.19,5939120092476.88,6187447828995.64,6517307393499.94,6879154365747.34,7123375685182.79
GDP (constant LCU),NY.GDP.MKTP.KN,El Salvador,SLV,17394000000,17547000000,17823000000,18102000000,18263000000,18752600000,19565900000,19927400000,20356716470,19927440540,20356716470,21124894450,21734918140,22209381010,22593470000,23135713300,23723143500,24265386800,24852817000,25440247200,23452021900
GDP (constant LCU),NY.GDP.MKTP.KN,Equatorial Guinea,GNQ,1366544461300,2232658638500,2667197283900,3039411341300,4194348954900,4896847903700,5274146000000,6080147000000,7162359000000,7258575000000,6610807000000,7042091000000,7627491000000,7312231656300,7342582265800,6673670000000,6085291408100,5740407000000,5382403987800,5087350000000,4843610949200
GDP (constant LCU),NY.GDP.MKTP.KN,Eritrea,ERI,26761520800,29104608500,29979326900,29183221100,29606884300,30369098600,30074756100,30503869400,27519666700,28586467000,29213708500,31749400000,..,..,..,..,..,..,..,..,..
GDP (constant LCU),NY.GDP.MKTP.KN,Estonia,EST,12540787000,13293695000,14193860000,15272631000,16311782000,17865712000,19610403000,21096703000,20014020000,17086158000,17503789000,18775104000,19381202000,19663863000,20256014000,20631362000,21282398000,22515084000,23367100000,24240961000,24107393000
GDP (constant LCU),NY.GDP.MKTP.KN,Eswatini,SWZ,24175975000,24430974700,25501075600,26490571800,27450567400,29097265600,30840822300,32208728600,32473376100,32981600300,34232841400,35002132000,36891067800,38315510800,38669251300,39530601400,39950657600,40760288900,41730422700,42853875900,42185508556.366
GDP (constant LCU),NY.GDP.MKTP.KN,Ethiopia,ETH,384969194800,416926666900,423241962300,414094181000,470297540800,525880906400,582858667300,649631929600,719717611200,783071136800,881350780100,979870781100,1064608160500,1177267871000,1298026040000,1432922916200,1568097451000,1718073265000,1835179678000,1988675679000,2109180096000
GDP (constant LCU),NY.GDP.MKTP.KN,Faroe Islands,FRO,..,..,..,..,..,..,..,..,13783400000,13190300000,13114200000,13600500000,14554800000,15406700000,16243700000,16402300000,16643400000,17228300000,17698900000,18475900000,18119900000
GDP (constant LCU),NY.GDP.MKTP.KN,Fiji,FJI,6814214500,6950498800,7172914700,7244643800,7628609900,7682010200,7824318200,7757760300,7837882000,7729246000,7957619900,8172884900,8288230000,8680613000,9167032441.77719,9579658850.3318,9813943969.33572,10339320204.7338,10733491378.8992,10671183004.3283,8852827195.96947
GDP (constant LCU),NY.GDP.MKTP.KN,Finland,FIN,176742000000,181355000000,184451000000,188147000000,195658000000,201097000000,209196000000,220282000000,222009000000,204083000000,210585000000,215950000000,212932000000,211012000000,210242000000,211385000000,217328000000,224266000000,226822000000,229600000000,224193000000
GDP (constant LCU),NY.GDP.MKTP.KN,France,FRA,1844502744000,1881092540000,1902452938000,1918113184000,1972391048000,2005196250000,2054309995000,2104121594000,2109485967000,2048873815000,2088815332000,2134616799000,2141301026000,2153641915000,2174234674000,2198432000000,2222515040000,2273442194000,2315843393000,2358523734000,2180680215000
GDP (constant LCU),NY.GDP.MKTP.KN,French Polynesia,PYF,526390449800,524592323300,529031326400,540283446300,545530998600,547222000000,552090000000,561503000000,561541000000,537780000000,524518000000,508982000000,504261000000,506272000000,509277000000,517757000000,530026000000,553212000000,563347000000,578557000000,537763000000
GDP (constant LCU),NY.GDP.MKTP.KN,Gabon,GAB,3602114448400,3679028000000,3669866000000,3752340000000,3778214000000,3879326689000,3770450345800,3996983075600,3864745662500,3869782628800,4144145856500,4438038458800,4671083271900,4934471597800,5147392292600,5347054461100,5458885015000,5484686000000,5530643093400,5747489034200,5641863918600
GDP (constant LCU),NY.GDP.MKTP.KN,"Gambia, The",GMB,35356933000,37407635200,36191887000,38678269500,41405087500,40431351900,40206723000,41430313900,44022155200,46956550700,49730901400,45687558200,48082303200,49463596600,48767454600,50746473900,51732660400,54227525500,58150827500,61769002900,62134358700
GDP (constant LCU),NY.GDP.MKTP.KN,Georgia,GEO,14494181100,15190692200,16022205900,17794057300,18825133300,20630383400,22573718200,25413255700,26027893500,25077741700,26640664349.6503,28601593505.3036,30436893887.304,31537356136.0808,32938103074.3108,33935000000,34921300000,36612400000,38385509200,40298009800,37573687100
GDP (constant LCU),NY.GDP.MKTP.KN,Germany,DEU,2555609010000,2598580770000,2593436260000,2575279180000,2605540980000,2624605910000,2724772470000,2805874100000,2832807100000,2671511700000,2783177750000,2892422840000,2904527560000,2917237520000,2981695150000,3026180000000,3093663810000,3176581150000,3207750800000,3242249250000,3118175870000
GDP (constant LCU),NY.GDP.MKTP.KN,Ghana,GHA,53092148300,55215834300,57700546600,60700975100,64100229700,67882145700,72226543700,75366100900,82261947600,86247117000,93060390800,106132698900,115995387100,124477578800,128032957400,130748228300,135158975000,146145906000,155207065700,165307592000,166157176600
GDP (constant LCU),NY.GDP.MKTP.KN,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (constant LCU),NY.GDP.MKTP.KN,Greece,GRC,181565864000,189067461000,196484335000,207869682000,218389951000,219698417000,232116724000,239715638000,238912177000,228637201000,216112894000,194178916000,180418045000,175878732000,176715380000,176368863000,175509641000,177426468000,180386702000,183777052000,166655581000
GDP (constant LCU),NY.GDP.MKTP.KN,Greenland,GRL,10175384600,10304513800,10204438700,10656500000,11392500000,11960700000,12625200000,12922200000,13719000000,13837800000,14078000000,14008100000,14203400000,14019000000,14683800000,14312400000,14982500000,14990400000,15083800000,15511000000,15540100000
GDP (constant LCU),NY.GDP.MKTP.KN,Grenada,GRD,1573896900,1542042800,1595047800,1746002700,1734698200,1965000000,1886491800,2002010200,2020980100,1887327000,1877680000,1892040000,1870190000,1914160000,2054700000,2187130000,2268920000,2369630000,2472980000,2489710000,2147210000
GDP (constant LCU),NY.GDP.MKTP.KN,Guam,GUM,..,..,4549000000,4589000000,4887000000,5065000000,4880000000,4915000000,5015000000,5037000000,5151000000,5155000000,5265000000,5354000000,5450000000,5495000000,5505000000,5554000000,5510000000,5653000000,5009000000
GDP (constant LCU),NY.GDP.MKTP.KN,Guatemala,GTM,269587471400,275875801000,286467465000,293802114000,303021380000,312948442000,329695558000,350590735000,362137525000,363864552000,374359044000,389947006000,401546793000,416383221000,434887198000,452683525000,464805496000,479120815000,495443854600,515350283000,506115939300
GDP (constant LCU),NY.GDP.MKTP.KN,Guinea,GIN,28916943266000,29974825239000,31522907901000,31916503326000,32663386946000,33642397681000,34042608356000,36363453346000,37866360749000,37441257061000,39243439615000,41445825311000,43897464521000,45629521110000,47316240595000,49126517645000,54442314974000,60049876325000,63868142863000,67455561821000,70774555145000
GDP (constant LCU),NY.GDP.MKTP.KN,Guinea-Bissau,GNB,283886000000,290100000000,287242000000,288875000000,296852000000,309516000000,316663832500,326996432300,337471983100,348841329700,364926301900,394429789600,387674457600,400296766800,404157872300,428949251400,455813509300,482793916000,488991718700,510996346000,498732433700
GDP (constant LCU),NY.GDP.MKTP.KN,Guyana,GUY,592040744400,605536441400,612394910400,608523194300,618036554500,605978923400,637063274900,682876000000,694862000000,719957000000,749752000000,788711000000,830326000000,860661000000,875176000000,881192000000,914743000000,948904000000,991044000000,1044093000000,1498061000000
GDP (constant LCU),NY.GDP.MKTP.KN,Haiti,HTI,465834795200,464238156300,469121106700,485450179100,479052641100,493769968800,502503528100,526154007100,540139350600,571955605200,539631468200,567143032800,569992497800,594643442800,611821339140,620386837900,631631151300,647486807100,658285663000,646942762520,625558034100
GDP (constant LCU),NY.GDP.MKTP.KN,Honduras,HND,106654200000,109558600000,113671800000,118840500000,126247000000,133885700000,142678300000,151507700000,157918900000,154078900000,159827800000,165958300000,172810200000,177634300000,183066500000,190096400000,197496800000,207061400000,215022900000,220727600000,200939900000
GDP (constant LCU),NY.GDP.MKTP.KN,"Hong Kong SAR, China",HKG,1559557000000,1568303000000,1594285000000,1643011000000,1785954000000,1917903000000,2052782000000,2185491000000,2231995000000,2177109000000,2324449000000,2436365000000,2477791000000,2554641000000,2625210000000,2687896000000,2746369000000,2850624000000,2931779000000,2882747000000,2694077000000
GDP (constant LCU),NY.GDP.MKTP.KN,Hungary,HUN,25578166000000,26620243000000,27882385000000,29018383000000,30470643000000,31779137000000,33033163000000,33124788000000,33457342000000,31249871000000,31586199000000,32175862000000,31773591000000,32346317000000,33715281000000,34965213000000,35734798000000,37261380000000,39259465000000,41169134000000,39301887000000
GDP (constant LCU),NY.GDP.MKTP.KN,Iceland,ISL,1564519827000,1627311792000,1636416912000,1671480227000,1801895792000,1912251800000,2033048614000,2204940030000,2253658101000,2080942036000,2021993632000,2059315169000,2081218799000,2175965459000,2212678675000,2310847787000,2456516401000,2559566007000,2684707617000,2734674803000,2537349678000
GDP (constant LCU),NY.GDP.MKTP.KN,India,IND,43267358976000,45354561777000,47079838114000,50780492988000,54803799259000,59146140271000,63913752465000,68810066843000,70934025841000,76510780097000,83012348442000,87363287114000,92130167686000,98013698222000,105276736340000,113694931360000,123081932230000,131445821450000,139929139360000,145346407750000,136871181360000
GDP (constant LCU),NY.GDP.MKTP.KN,Indonesia,IDN,4.121726242E+15,4.2718999547E+15,4.4641130418E+15,4.6775141233E+15,4.9128339626E+15,5.1925005389E+15,5.47813749E+15,5.8257265314E+15,6.1760684575E+15,6.4619507106E+15,6.8641331E+15,7.2876353E+15,7.7270834E+15,8.1564978E+15,8.5648666E+15,8.9825171E+15,9.4346134E+15,9.9129281E+15,1.04258519E+16,1.09491554E+16,1.07229993E+16
GDP (constant LCU),NY.GDP.MKTP.KN,"Iran, Islamic Rep.",IRN,8.350827305E+15,8.550593517E+15,9.2413813696E+15,1.0039771882E+16,1.0475163254E+16,1.0809300439E+16,1.1349743331E+16,1.2275402692E+16,1.2306196344E+16,1.2430167177E+16,1.31508606E+16,1.34987952755402E+16,1.2992972279814E+16,1.27952219436114E+16,1.3433034976836E+16,1.32416296845501E+16,1.44088908141246E+16,1.48063608230922E+16,1.45342187901845E+16,1.40879328143038E+16,1.45571016149677E+16
GDP (constant LCU),NY.GDP.MKTP.KN,Iraq,IRQ,112211401170000,114187982650000,104826315350000,66398924625000,101843861910000,103546578870000,109393127070000,111455813400000,120626517100000,124702847900000,132687028600000,142700217000000,162587533100000,174990638800000,175335399600000,183616252100000,208932109700000,205130066900000,210532887200000,222141229690000,195402549500000
GDP (constant LCU),NY.GDP.MKTP.KN,Ireland,IRL,143783125000,151412001000,160344348000,165176868000,176389305000,186513666000,195816695000,206214793000,196967976000,186930915000,190076910000,192511324000,192261652000,194519985000,211694152000,263506832000,268159195000,293128193000,317957017000,334801515000,356955983000
GDP (constant LCU),NY.GDP.MKTP.KN,Isle of Man,IMN,2291639300,2415387800,2565141800,2719050300,2860441000,3029207000,3262455900,3507140100,3678990000,3756248800,3883961200,3961640400,4250993831.8,4427064398.6,4655281000,4637321000,4959721585.2,5100466696.7,5213360317.9,5226648387.7,4764809606.7
GDP (constant LCU),NY.GDP.MKTP.KN,Israel,ISR,716739123000,719133538000,718312137000,728324783000,763171245000,794721329000,839087982000,889711952000,918637941000,926750620000,979283619000,1033742943000,1060492632000,1107318701000,1150715926000,1179320725000,1232645838000,1285361120000,1337679455000,1393275259000,1367398107000
GDP (constant LCU),NY.GDP.MKTP.KN,Italy,ITA,1660304000000,1692702700000,1697001200000,1699353700000,1723545600000,1737641600000,1768756500000,1795059200000,1777790500000,1683906500000,1712756800000,1724871700000,1673454900000,1642645500000,1642570800000,1655355000000,1676766400000,1704732500000,1720515100000,1728828600000,1573680200000
GDP (constant LCU),NY.GDP.MKTP.KN,Jamaica,JAM,774573924100,784991397800,800669959900,830025063500,841012313600,848529264300,873129191300,885632000000,878443000000,840272000000,828028000000,842356000000,837187000000,841521000000,847326000000,855134000000,866894000000,875538000000,892085000000,900045000000,810757633814.881
GDP (constant LCU),NY.GDP.MKTP.KN,Japan,JPN,482572940520000,484436171177000,484639452702000,492079276520000,502836698813000,511907374409000,518932535915000,526633336015000,520185822008000,490570413656000,510673586544000,510795175493000,517817337272000,528200093617000,529764651420000,538032300000000,542088131379000,551169905966000,554716083665000,552485186424000,528846534864000
GDP (constant LCU),NY.GDP.MKTP.KN,Jordan,JOR,13228021100,13925132200,14730535100,15343571000,16658087600,18015154500,19473116500,21065271600,22586265600,23720934100,24270034400,24934348900,25540093500,26206676500,27093530900,27769928700,28323711300,29024326100,29581324000,30099363700,29767442400
GDP (constant LCU),NY.GDP.MKTP.KN,Kazakhstan,KAZ,4634898083500,5260609324700,5776149038500,6313330899100,6919410665500,7590593500000,8402787004500,9150635047900,9452606004500,9566037276500,10264357998000,11023920490000,11553068673000,12246252793000,12760595411000,12913722556000,13055773504000,13591060218000,14148293686000,14784966902000,14415342730000
GDP (constant LCU),NY.GDP.MKTP.KN,Kenya,KEN,3806739949200,3950631159900,3972235562900,4088720399400,4297420945600,4551255250900,4845834987600,5177810047700,5189837207000,5361462000000,5793514000000,6090206000000,6368448000000,6610312000000,6942157000000,7287024000000,7594064000000,7885521000000,8330891000000,8756946000000,8733060000000
GDP (constant LCU),NY.GDP.MKTP.KN,Kiribati,KIR,136000000,134000000,139075200,141865500,139554000,146464200,146392000,149371000,146247000,147421100,145769600,148338900,155957800,162448100,160667200,176517300,175673200,176000000,185000000,181000000,178000000
GDP (constant LCU),NY.GDP.MKTP.KN,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (constant LCU),NY.GDP.MKTP.KN,"Korea, Rep.",KOR,903550900000000,947394800000000,1.0205824E+15,1.0527031E+15,1.1074162E+15,1.1551297E+15,1.2159395E+15,1.2864585E+15,1.3252193E+15,1.3357243E+15,1.426618E+15,1.4791984E+15,1.5147366E+15,1.5626736E+15,1.6127175E+15,1.6580204E+15,1.7068803E+15,1.7608115E+15,1.8120054E+15,1.8526664E+15,1.8395233E+15
GDP (constant LCU),NY.GDP.MKTP.KN,Kosovo,XKX,..,..,..,..,..,..,..,..,3537600000,3715713000,3899267384.74192,4145693701.62786,4216676113.43276,4441880330.70993,4590630165.50372,4862222518.40843,5133134594.52034,5380842030.34539,5564147462.50649,5828822863.61795,5517547684.57673
GDP (constant LCU),NY.GDP.MKTP.KN,Kuwait,KWT,21140700000,21185800000,21824400000,25605700000,28227800000,31222500000,33568800000,35580100000,36462400000,33882300000,33079200000,36264200000,38667000000,39111400000,39307300000,39540400000,40697300000,38779600000,39723488200,39504230700,36006020900
GDP (constant LCU),NY.GDP.MKTP.KN,Kyrgyz Republic,KGZ,290543479167.739,306005103195.604,305952089029.526,327461417942.515,350471517514.281,349856385984.499,360712075395.685,391527256256.993,424421873097.565,436671938597.489,434612739578.556,460499466528.091,460093535322.694,510314904632.118,530850173507.568,551424999624.263,575333993099.169,602604463208.426,625249797343.862,654015200000,607259800000
GDP (constant LCU),NY.GDP.MKTP.KN,Lao PDR,LAO,35142119045000,37163287406000,39362887132000,41751034401000,44405438028000,47561584895000,51661044510000,55585645618000,59935168338000,64431369760000,69925371783000,75546429556000,81609860356000,88160112763000,94870828315000,101768000000000,108915000000000,116422000000000,123696000000000,130447000000000,131103189930000
GDP (constant LCU),NY.GDP.MKTP.KN,Latvia,LVA,14350958000,15258442000,16339980000,17716274000,19183916000,21240502000,23783380000,26147905000,25298328000,21690751000,20724305000,21257689000,22754708000,23211615000,23653140000,24572126000,25154145000,25987370000,27024401000,27183170000,26228007000
GDP (constant LCU),NY.GDP.MKTP.KN,Lebanon,LBN,33116535182000,34388100609000,35565256816000,36712982603000,39165205943000,40217096941000,40840266891000,44642749980000,48691458238000,53673643998000,57954189866000,58456849666000,59956145882000,62251191301000,63797548309000,64092497640000,65088847183000,65676618000000,64438807000000,59982912000000,47146629000000
GDP (constant LCU),NY.GDP.MKTP.KN,Lesotho,LSO,13380102482.9959,13856645830.148,13956945215.7225,14593350767.2354,14840324871.4728,15354708708.162,16004227451.087,16674470800,17595471800,17374867200,18290465500,19134829100,20346845200,20711567600,21065849300,21723960500,22507958100,21801619000,21478817000,21174248700,19594921400
GDP (constant LCU),NY.GDP.MKTP.KN,Liberia,LBR,2364414500,2433461900,2525033500,1763858800,1810069200,1905662800,2058952600,2255279400,2416434700,2544518800,2699730000,2921128600,3154638200,3428690700,3452739300,3452098300,3398419600,3481856100,3522161200,3435259000,3332802700
GDP (constant LCU),NY.GDP.MKTP.KN,Libya,LBY,86423100000,84899600000,84085500000,95030100000,99270000000,111054100000,118273200000,125641600000,125438000000,119918500000,125947100000,62547200000,116854900000,95823400000,73743000000,73121600000,72031400000,95435700000,103014600000,91481400000,64231700000
GDP (constant LCU),NY.GDP.MKTP.KN,Liechtenstein,LIE,4097204900,4067168600,4026744200,3948723400,4068731900,4265173400,4633896300,4788018000,4874110800,4817693800,..,..,..,..,..,..,..,..,..,..,..
GDP (constant LCU),NY.GDP.MKTP.KN,Lithuania,LTU,20260235000,21582440000,23039560000,25473910000,27147416000,29246554000,31414929000,34904336000,35816883000,30502156000,31005820000,32878264000,34142060000,35354128000,36604607000,37345698000,38286372000,39926023000,41520393000,43457601000,43446905000
GDP (constant LCU),NY.GDP.MKTP.KN,Luxembourg,LUX,36385193000,37503803000,38713457000,39727509000,41408734000,42436861000,44990166000,48633770000,48487783000,46917286000,48681570000,49189951000,50001537000,51587481000,52940665000,54142304000,56837611000,57586269000,58288431000,59988033000,59442244000
GDP (constant LCU),NY.GDP.MKTP.KN,"Macao SAR, China",MAC,117954000000,121361000000,132175000000,147561000000,186857000000,201947000000,228988000000,262138000000,271028000000,274482000000,343439000000,417679000000,456282000000,505345000000,494994000000,388499000000,385861000000,423907000000,451059000000,439496000000,200692000000
GDP (constant LCU),NY.GDP.MKTP.KN,Madagascar,MDG,12758567260000,13521559663000,11843808447000,13002712327000,13686265385000,14337162966000,15111155920000,15974088180000,17046370021000,16368144629000,16469502686000,16729461772000,17233210645000,17629639326000,18218328791000,18788981153000,19539252614000,20307791521000,20956494783000,21880934414000,20319145168000
GDP (constant LCU),NY.GDP.MKTP.KN,Malawi,MWI,3147848853900,2991244518700,3042095676400,3215666686100,3389971820000,3500780711000,3665317396200,4017187861700,4324090425000,4684205425700,5006200791400,5253140155900,5352949818900,5642563139400,5959972550900,6126851782400,6280023076900,6531224000000,6818055000000,7189515000000,7247031000000
GDP (constant LCU),NY.GDP.MKTP.KN,Malaysia,MYS,579072903200,582070620700,613449979800,648959527500,692981292900,729932019800,770697606800,819242199200,858826097100,845827517500,908628919800,956730942800,1009097172700,1056461394000,1119920092400,1176941187000,1229312497000,1300769020000,1363766395000,1423951962000,1346249088000
GDP (constant LCU),NY.GDP.MKTP.KN,Maldives,MDV,31875691521.1232,30618630799.6889,32844111170.0585,37360192819.0386,39533198654.1584,35096322121.149,43381089145.3479,46471309556.8629,50644348122.1292,46512902114.7776,49692278233.3372,53952247684.247,55227542642.5599,59073172592.2741,63681526758.4068,66210775962.7521,70562304518.1781,75540149802.9726,82087974669.1368,88079030673.8162,59093253323.6977
